language.English|language.hlCode|language.google|topic.1|topic.2|topic.3|topic.4|topic.5|topic.6|topic.7|topic.8|topic.9|topic.10|topic.11|topic.12|topic.13|topic.14|topic.15|topic.16|topic.17|topic.18|topic.19|topic.20|topic.21|topic.22|topic.23|topic.24|topic.25|topic.26|topic.27|topic.28|topic.29|topic.30|topic.31|topic.32|topic.33|topic.34|topic.35|topic.36|topic.37|topic.38|topic.39|topic.40|topic.41|topic.42|topic.43|topic.44|topic.45|topic.46|topic.47|topic.48|topic.49|topic.50|topic.51|topic.52|topic.53|topic.54|topic.55|topic.56|topic.57|topic.58|topic.59|topic.60|topic.61|menu.see|menu.watch|menu.select|question.1|question.2|question.3|question.4|question.5|menu.other_videos
Latin|Lat777|la|Initium|Nativitas Jesu|Pueritia Iesu|Baptismus Iesu per Ioannem|Diabolus tentat Iesum|Iesus Suam Scripturam annuntiat et reprobatur|Iesu Parabola Pharisaei et publicani|Iesu Miraculum Capere Piscium|Iesus Filiam mortuam Iairus infert ad vitam|Iesus eligit discipulos suos|Beatitudines Iesu|Sermo in monte Iesu|Beati qui audiunt et obediunt|Iesus dimittit mulierem peccatricem|Mulieres discipuli Iesu|Ioannes Baptista in carcere|Iesu parabola seminantis et seminis|Jesus' Parabola lampadis|Iesus sedat Tempestatem|Iesus sanat daemoniacum|Iesus pascit 5,000|Petrus dicit Iesum Christum esse|Iesu Transfiguratio|Iesus sanat puerum a malo spiritu|Oratio Dominica|Iesus docet de oratione et fide|Vae illis qui alios in peccatum|Regnum Dei sicut granum sinapis|Iesus vacat peccatoribus|Sanatio in sabbato muliebre a malo spiritu debilitatum|Boni Samaritani parabola|Caeci mendicus sanans, Bartimaeus|Iesus et Zachaeus|Iesus mortem suam et resurrectionem praedicat|Iesu triumphalis Ingressus Dominica Palmarum|Iesus flet Ierosolymam|Iesus expellit nummularios e templo|Oblatio viduae|Annae Quaestiones auctoritati Iesu|Iesu Parabola de vineis & tenentibus|Tributa Caesari|Cena ultima|Iesu Cenaculum Docendi|Judas prodit Jesum; Iesus comprehensus est|Petrus abdicat Iesum tribus vicibus|Vestitu Iesum custodi; Iesus Interrogatus a Concilio Religioso|Iesus affertur ad Pilatum|Iesus affertur ad Herodem|Jesus vapulat & condemnatus ad mortem|Iesus crucem suam portat; Via Dolorosa|Iesus crucifixus est|Milites Gamble in Vestimentis Iesu|Signum Crucis: Rex Iudaeorum|Crucifixus Convictus perditus et salvatus|Mors Jesu|Ioseph ab Arimathia et Iesu sepultura|Angeli ad Sepulchrum|Sepulchrum Iesu vacuum est|Jesus Resurrexit Discipulis|Iesus magnam dat Commissionem et ascendit in caelum|Invitatio ad Jesum personaliter cognoscendum|Vide quid Iesus dixit|Videte Iesum film|Lego segmentum|Quid hoc tibi dicit de Jesu?|Quid tibi hoc de Deo dicam?|Quid hoc tibi de populo dicam?|Si hoc verum est, quid interest in vita tua?|Qui sunt quinque homines cum inventis tuis communicare potes?|Alia Videos
Latvian|lat00|lv|Sākums|Jēzus dzimšana|Jēzus bērnība|Jāņa Jēzus kristības|Velns kārdina Jēzu|Jēzus pasludina Savu Rakstu piepildījumu un tiek noraidīts|Jēzus līdzība par farizeju un nodokļu iekasētāju|Jēzus brīnumainā zivju nozveja|Jēzus atdzīvina Jaira mirušo meitu|Jēzus izvēlas savus mācekļus|Jēzus svētības|Sprediķis Jēzus kalnā|Svētīgi tie, kas dzird un paklausa|Jēzus piedod grēcīgai sievietei|Sievietes Jēzus mācekļi|Jānis Kristītājs cietumā|Jēzus līdzība par sējēju un sēklu|Jēzus līdzība par lukturi|Jēzus nomierina vētru|Jēzus dziedina dēmoniskus|Jēzus pabaro 5000|Pēteris pasludina Jēzu par Kristu|Jēzus pārveidošana|Jēzus dziedina zēnu no ļaunā gara|Kunga lūgšana|Jēzus māca par lūgšanu un ticību|Bēdas tiem, kas liek citiem grēkot|Dieva valstība kā sinepju sēklas|Jēzus pavada laiku ar grēciniekiem|Ļaunā gara kropļotās sievietes dziedināšana sabatā|Līdzība par žēlsirdīgo samarieti|Aklā ubaga dziedināšana, Bartimejs|Jēzus un Caķejs|Jēzus paredz savu nāvi un augšāmcelšanos|Jēzus triumfa ieeja – Pūpolsvētdiena|Jēzus raud par Jeruzalemi|Jēzus izdzen naudas mijējus no tempļa|Atraitnes piedāvājums|Annas apšauba Jēzus autoritāti|Jēzus līdzība par vīna dārzu un īrniekiem|Nodokļu maksāšana Cēzaram|Pēdējais vakarēdiens|Jēzus augšistabas mācība|Jūda nodod Jēzu; Jēzus ir arestēts|Pēteris trīs reizes noraida Jēzu|Sargi ņirgājas par Jēzu; Jēzu iztaujā Reliģiskā padome|Jēzus tiek atvests pie Pilāta|Jēzus ir atvests pie Hēroda|Jēzus tiek pātagu un notiesāts uz nāvi|Jēzus nes savu krustu; Via Dolorosa|Jēzus ir krustā sists|Karavīri spēlē par Jēzus drēbēm|Zīme uz krusta: ebreju karalis|Krustā sistie notiesātie, pazaudēti un izglābti|Jēzus nāve|Jāzeps no Arimatijas un Jēzus apbedīšana|Eņģeļi pie kapa|Jēzus kaps ir tukšs|Augšāmceltais Jēzus parādās Saviem mācekļiem|Jēzus dod lielu uzdevumu un paceļas debesīs|Aicinājums iepazīt Jēzu personīgi|Skaties, ko Jēzus teica|Noskatieties JĒZUS filmu|Atlasiet segmentu|Ko tas tev stāsta par Jēzu?|Ko tas tev stāsta par Dievu?|Ko tas stāsta par cilvēkiem?|Ja tā ir taisnība, kādas izmaiņas tas mainītu tavā dzīvē?|Kuri ir pieci cilvēki, ar kuriem varat dalīties savos atklājumos?|Citi video
Lingala||ln||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Lithuanian|lit00|lt|L'inizio|La nascita di Gesù|L'infanzia di Gesù|Il Battesimo di Gesù di Giovanni|Il diavolo tenta Gesù|Gesù proclama il suo adempimento della Scrittura e viene rifiutato|La parabola di Gesù del fariseo e del pubblicano|La pesca miracolosa di Gesù|Gesù riporta in vita la figlia morta di Giairo|Gesù sceglie i suoi discepoli|Beatitudini di Gesù|Discorso della Montagna di Gesù|Beati coloro che ascoltano e obbediscono|Gesù perdona la donna peccatrice|Donne Discepole di Gesù|Giovanni Battista in carcere|La parabola di Gesù del seminatore e del seme|La parabola della lampada di Gesù|Gesù calma la tempesta|Gesù guarisce il demoniaco|Gesù nutre i 5.000|Pietro dichiara che Gesù è il Cristo|Trasfigurazione di Gesù|Gesù guarisce il ragazzo dallo spirito maligno|La preghiera del Signore|Gesù insegna sulla preghiera e sulla fede|Guai a coloro che fanno peccare gli altri|Il Regno di Dio come un granello di senape|Gesù trascorre del tempo con i peccatori|Guarigione di sabato di una donna paralizzata dallo spirito maligno|Parabola del Buon Samaritano|Guarigione del mendicante cieco Bartimeo|Gesù e Zaccheo|Gesù predice la sua morte e risurrezione|Ingresso trionfale di Gesù – Domenica delle Palme|Gesù piange su Gerusalemme|Gesù scaccia i cambiavalute dal tempio|L'offerta della vedova|Anna mette in dubbio l'autorità di Gesù|La parabola di Gesù della vigna e dei vignaioli|Pagare le tasse a Cesare|L'Ultima Cena|L'insegnamento di Gesù nel Cenacolo|Giuda tradisce Gesù; Gesù viene arrestato|Pietro rinnega Gesù tre volte|Le guardie deridono Gesù; Gesù interrogato dal Consiglio religioso|Gesù viene portato a Pilato|Gesù viene portato da Erode|Gesù viene frustato e condannato a morte|Gesù porta la sua croce; Via Dolorosa|Gesù è crocifisso|I soldati giocano d'azzardo per i vestiti di Gesù|Segno sulla croce: Re dei Giudei|Condannati crocifissi perduti e salvati|Morte di Gesù|Giuseppe d'Arimatea e la sepoltura di Gesù|Angeli alla tomba|La tomba di Gesù è vuota|Gesù risorto appare ai suoi discepoli|Gesù dà un grande incarico e ascende al cielo|Invito a conoscere Gesù personalmente|Vedi cosa ha detto Gesù|Guarda il film GESÙ|Seleziona segmento|Cosa ti dice questo su Gesù?|Cosa ti dice questo su Dio?|Cosa ti dice questo sulle persone?|Se questo fosse vero, che differenza farebbe nella tua vita?|Chi sono le cinque persone con cui puoi condividere le tue scoperte?|Altri video
Luganda|lap00|lg||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Luxembourgish|Lux777|lb|Den Ufank|D'Gebuert vum Jesus|D'Kandheet vum Jesus|D'Daf vum Jesus vum John|Den Däiwel versicht de Jesus|De Jesus verkënnegt seng Erfëllung vun der Schrëft a gëtt refuséiert|Dem Jesus seng Parabel vum Pharisäer a Steierzueler|Dem Jesus säi Wonner Fang vu Fësch|De Jesus bréngt dem Jairus seng Doudeg Duechter zréck an d'Liewen|De Jesus wielt seng Jünger|Beatitudes vum Jesus|Priedegt um Bierg vum Jesus|Geseent sinn déi, déi héieren a befollegen|Jesus verzeien sënnlech Fra|Fraen Jünger vum Jesus|John the Baptist am Prisong|Dem Jesus seng Gläichnes vum Séi an de Som|Jesus' Parabel vun der Lampe|Jesus berouegt de Stuerm|Jesus heelt Demoniak|De Jesus fiddert déi 5.000|De Péitrus erklärt datt de Jesus de Christus ass|Jesus seng Transfiguratioun|Jesus heelt Jong vum Béise Geescht|Dem Här säi Gebied|De Jesus léiert iwwer Gebied a Glawen|Wee fir déi, déi anerer sënnegen|D'Kinnekräich vu Gott als Moschter Som|Jesus verbréngt Zäit mat Sënner|Heelen um Sabbat vun der Fra, déi vum Béise Geescht verstoppt ass|Parabel vum gudde Samaritan|Healing vum Blannen Bettler, Bartimeus|Jesus an Zaccheus|De Jesus virausgesot säin Doud an Operstéiungszeen|Jesus Triumphal Entry-Palmsonndeg|De Jesus weint iwwer Jerusalem|De Jesus dreift Geldwechsler aus dem Tempel eraus|Witfra Offer|Annas Froen Autoritéit vum Jesus|Jesus' Parabel vum Wéngert & Locataire|Bezuelen Steieren un Caesar|Déi lescht Supper|Jesus 'Uewer Sall Unterrécht|Judas verréid Jesus; De Jesus gëtt festgeholl|De Peter verléisst de Jesus dräimol|Garde Mock Jesus; Jesus gefrot vum Reliounsrot|De Jesus gëtt zum Pilatus bruecht|De Jesus gëtt zum Herodes bruecht|De Jesus gëtt geschloen & zum Doud veruerteelt|De Jesus dréit säi Kräiz; Via Dolorosa|Jesus ass gekräizegt|Zaldoten Gamble fir Jesus Kleeder|Zeechen um Kräiz: Kinnek vun de Judden|Gekräizegt Convicts verluer a gerett|Doud vum Jesus|Joseph vun Arimathea an d'Begriefnes vum Jesus|Engelen am Graf|Graf vum Jesus ass eidel|Operstanen Jesus erschéngt senge Jünger|De Jesus gëtt eng grouss Kommissioun an ass an den Himmel erop|Invitatioun fir de Jesus perséinlech ze kennen|Kuckt wat de Jesus gesot huet|Kuckt de JESUS ​​Film|Wielt Segment|Wat seet dat Iech iwwer de Jesus?|Wat seet dat Iech iwwer Gott?|Wat seet Iech dëst iwwer Leit?|Wann dëst wouer ass, wat fir en Ënnerscheed géif et an Ärem Liewen maachen?|Wien sinn fënnef Leit mat där Dir Är Entdeckungen deele kënnt?|Aner Videoen
Macedonian|mkj00|mk|Почетокот|Раѓањето на Исус|Детството на Исус|Крштевањето на Исус од Јован|Ѓаволот го искушува Исус|Исус го објавува своето исполнување на Светото писмо и е отфрлен|Исусовата парабола за фарисејот и даночникот|Исусовото чудо улов на риба|Исус ја враќа во живот мртвата ќерка на Јаир|Исус ги избира своите ученици|Блаженства на Исус|Беседа на Исусовата Гора|Блажени се оние што слушаат и слушаат|Исус простува на грешната жена|Жените ученици на Исус|Јован Крстител во затвор|Исусовата парабола за сејачот и семето|Исусовата парабола за светилката|Исус ја смирува бурата|Исус исцелува демон|Исус ги храни 5.000-те|Петар изјавува дека Исус е Христос|Преображение Исусово|Исус исцелува момче од зли дух|Господовата молитва|Исус поучува за молитвата и верата|Тешко на оние што ги предизвикуваат другите на грев|Царството Божјо како семе од синап|Исус поминува време со грешниците|Исцелување во сабота на жена осакатена од злиот дух|Парабола за добриот Самарјанин|Исцелување на слепиот просјак, Бартимеј|Исус и Закхеј|Исус ја предвидува својата смрт и воскресение|Исусовото триумфално влегување - Цветници|Исус плаче над Ерусалим|Исус ги истерува менувачите на пари од храмот|Понуда на вдовица|Ана го поставува прашањето за авторитетот на Исус|Исусовата парабола за лозјето и станарите|Плаќање даноци на Цезар|Тајната вечера|Исусовото учење во горна соба|Јуда Го предава Исуса; Исус е уапсен|Петар трипати се одрече од Исус|Чувари го исмеваат Исус; Исус испрашуван од Верскиот совет|Исус е донесен кај Пилат|Исус е донесен кај Ирод|Исус е камшикуван и осуден на смрт|Исус го носи својот крст; Преку Долороса|Исус е распнат|Војниците се коцкаат за Исусовата облека|Знак на крстот: Кралот на Евреите|Распнати осуденици изгубени и спасени|Смртта на Исус|Јосиф од Ариматеја и погребот на Исус|Ангели на гробот|Гробот на Исус е празен|Воскреснатиот Исус им се јавува на своите ученици|Исус дава голема задача и се вознесува на небото|Покана лично да го запознаеме Исус|Погледнете што рекол Исус|Гледајте го филмот ИСУС|Изберете сегмент|Што ви кажува ова за Исус?|Што ти кажува ова за Бог?|Што ви кажува ова за луѓето?|Ако ова е вистина, каква разлика би направила во вашиот живот?|Кои се петте луѓе со кои можете да ги споделите вашите откритија?|Други видеа
Maithili||mai||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Malagasy|plt00|mg|Ny fiandohana|Ny nahaterahan’i Jesosy|Ny fahazazan’i Jesosy|Ny batisan’i Jesosy nataon’i Jaona|Naka fanahy an’i Jesosy ny Devoly|Nanambara ny fahatanterahany ny Soratra Masina i Jesosy ary nolavina|Fanoharana nataon’i Jesosy momba ilay Fariseo sy mpamory hetra|Fahagagan'i Jesosy ny trondro|Naverin’i Jesosy tamin’ny maty ny zanakavavin’i Jairo|Nifidy ny Mpianany Jesosy|Fitahian'i Jesosy|Toriteny teo an-tendrombohitr’i Jesosy|Sambatra izay mandre sy mankato|Namela ny vehivavy mpanota i Jesosy|Vehivavy mpianatr’i Jesosy|Jaona Mpanao Batisa tao am-ponja|Fanoharana nataon’i Jesosy momba ny mpamafy sy ny voa|Fanoharana nataon’i Jesosy momba ny jiro|Jesosy mampitony ny tafio-drivotra|Jesosy Manasitrana demoniaka|Jesosy namahana ny 5000|Nambaran’i Petera fa i Jesosy no Kristy|Niova tarehy i Jesosy|Nanasitrana zazalahy tamin’ny fanahy ratsy i Jesosy|Vavaky ny Tompo|Jesosy dia mampianatra momba ny vavaka sy ny finoana|Loza ho an’izay mampanota ny hafa|Ny Fanjakan’Andriamanitra toy ny voan-tsinapy|Nandany fotoana niaraka tamin’ny mpanota i Jesosy|Fanasitranana amin'ny Sabata ny vehivavy kilemain'ny fanahy ratsy|Fanoharana momba ilay Samaritana tsara fanahy|Fanasitranana ilay mpangataka jamba, Bartimeo|Jesosy sy Zakaiosy|Maminany ny fahafatesany sy ny fitsanganany i Jesosy|Ny Fidiran'i Jesosy Tompon'ny Fandresena - Alahady palmie|Jesosy nitomany an’i Jerosalema|Nandroaka ireo mpanakalo vola tao amin’ny tempoly i Jesosy|Fanateran'ny mpitondratena|Nanontany ny fahefan’i Jesosy i Anasy|Fanoharana nataon’i Jesosy momba ny tanimboaloboka sy ny mpanofa|Fandoavana hetra amin’i Kaisara|Ny Sakafo farany|Fampianaran’i Jesosy Efitrano Ambony|Jodasy namadika an'i Jesosy; Nosamborina i Jesosy|Intelo i Petera no nanda an’i Jesosy|Maneso an’i Jesosy ny mpiambina; Nanontanian'ny Filan-kevi-pivavahana i Jesosy|Nentina tany amin’i Pilato i Jesosy|Nentina tany amin’i Heroda i Jesosy|Nokaravasina sy nohelohina ho faty i Jesosy|Nitondra ny Hazofijaliany Jesosy; Via Dolorosa|Voahombo Jesosy|Miloka ny miaramila mba hahazoana ny fitafian'i Jesosy|Sign teo amin’ny Hazo fijaliana: Mpanjakan’ny Jiosy|Very sy voavonjy ireo voaheloka nohomboana|Ny fahafatesan’i Jesosy|Josefa avy any Arimatia sy ny fandevenana an’i Jesosy|Anjely ao am-pasana|Foana ny fasan'i Jesosy|Niseho tamin’ny Mpianany i Jesosy nitsangana tamin’ny maty|Jesosy dia nanome iraka lehibe ary niakatra ho any an-danitra|Fanasana hahalala an’i Jesosy manokana|Jereo izay nolazain’i Jesosy|Jereo ny film JESUS|Fidio fizarana|Inona no ambaran’izany aminao momba an’i Jesosy?|Inona no ambaran’izany aminao momba an’Andriamanitra?|Inona no ambaran'izany aminao momba ny olona?|Raha marina izany, inona no mety hitranga eo amin’ny fiainanao?|Iza amin'ireo olona dimy azonao zaraina amin'ny zavatra hitanao?|Lahatsary hafa
Malay|mli00|ms|Permulaan|Kelahiran Yesus|Masa Kanak-kanak Yesus|Pembaptisan Yesus oleh Yohanes|Iblis Menggoda Yesus|Yesus Mengisytiharkan Penggenapan Kitab Suci dan Ditolak|Perumpamaan Yesus tentang orang Farisi dan Pemungut Cukai|Tangkapan Ikan Keajaiban Yesus|Yesus Menghidupkan Kembali Anak Perempuan Yairus|Yesus Memilih Murid-Nya|Bahagia Yesus|Khotbah di Bukit Yesus|Berbahagialah Mereka Yang Mendengar dan Taat|Yesus Mengampuni Wanita Berdosa|Wanita Pengikut Yesus|Yohanes Pembaptis dalam Penjara|Perumpamaan Yesus tentang Penabur dan Benih|Perumpamaan Yesus tentang Pelita|Yesus Menenangkan Badai|Yesus Menyembuhkan Iblis|Yesus Memberi Makan 5,000|Petrus Mengisytiharkan Yesus sebagai Kristus|Transfigurasi Yesus|Yesus Menyembuhkan Budak Lelaki Daripada Roh Jahat|Doa Bapa Kami|Yesus Mengajar Tentang Doa dan Iman|Celakalah Mereka yang Menyebabkan Orang Lain Berdosa|Kerajaan Tuhan sebagai Biji Sesawi|Yesus Menghabiskan Masa Bersama Orang Berdosa|Penyembuhan pada hari Sabat Wanita yang Dilumpuhkan oleh Roh Jahat|Perumpamaan Orang Samaria yang Baik Hati|Penyembuhan Pengemis Buta, Bartimeus|Yesus dan Zakheus|Yesus Meramalkan Kematian dan Kebangkitan-Nya|Kemasukan Kemenangan Yesus-Ahad Palma|Yesus Menangisi Yerusalem|Yesus Mengusir Penukar Wang Dari Kaabah|Persembahan Janda|Annas mempersoalkan kuasa Yesus|Perumpamaan Yesus tentang Kebun Anggur & Penyewa|Membayar Cukai kepada Caesar|Perjamuan Terakhir|Pengajaran Bilik Atas Yesus|Yudas Mengkhianati Yesus; Yesus Ditangkap|Petrus Menolak Yesus Tiga Kali|Pengawal Mengejek Yesus; Yesus disoal oleh Majlis Agama|Yesus Dibawa kepada Pilatus|Yesus Dibawa kepada Herodes|Yesus Dicambuk & Dihukum Mati|Yesus Memikul Salib-Nya; Melalui Dolorosa|Yesus Disalibkan|Askar Berjudi untuk Pakaian Yesus|Tanda di Salib: Raja orang Yahudi|Banduan yang Disalib Hilang dan Diselamatkan|Kematian Yesus|Yusuf dari Arimatea dan Pengebumian Yesus|Malaikat di Makam|Makam Yesus Kosong|Yesus yang Dibangkitkan Menampakkan Diri kepada Murid-murid-Nya|Yesus Memberi Amanah Besar dan Naik ke Syurga|Jemputan Mengenal Yesus Secara Peribadi|Lihat apa yang Yesus katakan|Tonton filem YESUS|Pilih segmen|Apakah ini memberitahu anda tentang Yesus?|Apakah ini memberitahu anda tentang Tuhan?|Apakah ini memberitahu anda tentang orang?|Jika ini benar, apakah perbezaannya dalam hidup anda?|Siapakah lima orang yang boleh anda kongsikan penemuan anda?|Video Lain
Malayalam|mjs00|ml|തുടക്കം|യേശുവിൻ്റെ ജനനം|യേശുവിൻ്റെ ബാല്യം|യോഹന്നാൻ എഴുതിയ യേശുവിൻ്റെ സ്നാനം|പിശാച് യേശുവിനെ പ്രലോഭിപ്പിക്കുന്നു|യേശു തൻ്റെ തിരുവെഴുത്തുകളുടെ പൂർത്തീകരണം പ്രഖ്യാപിക്കുകയും നിരസിക്കുകയും ചെയ്യുന്നു|യേശുവിൻ്റെ പരീശൻ്റെയും നികുതിപിരിവിൻ്റെയും ഉപമ|യേശുവിൻ്റെ മിറക്കിൾ ക്യാച്ച് ഓഫ് ഫിഷ്|ജൈറസിൻ്റെ മരിച്ചുപോയ മകളെ യേശു ജീവിതത്തിലേക്ക് തിരികെ കൊണ്ടുവരുന്നു|യേശു തൻ്റെ ശിഷ്യന്മാരെ തിരഞ്ഞെടുക്കുന്നു|യേശുവിൻ്റെ അനുഗ്രഹങ്ങൾ|യേശുവിൻ്റെ ഗിരിപ്രഭാഷണം|കേൾക്കുകയും അനുസരിക്കുകയും ചെയ്യുന്നവർ ഭാഗ്യവാന്മാർ|പാപിയായ സ്ത്രീയോട് യേശു ക്ഷമിക്കുന്നു|യേശുവിൻ്റെ സ്ത്രീ ശിഷ്യന്മാർ|ജയിലിൽ സ്നാപക ജോൺ|വിതക്കാരനെയും വിത്തിനെയും കുറിച്ചുള്ള യേശുവിൻ്റെ ഉപമ|യേശുവിൻ്റെ വിളക്കിൻ്റെ ഉപമ|യേശു കൊടുങ്കാറ്റിനെ ശാന്തമാക്കുന്നു|യേശു പൈശാചിക രോഗത്തെ സുഖപ്പെടുത്തുന്നു|യേശു 5,000 പേർക്ക് ഭക്ഷണം നൽകുന്നു|പീറ്റർ യേശുവിനെ ക്രിസ്തുവായി പ്രഖ്യാപിക്കുന്നു|യേശുവിൻ്റെ രൂപാന്തരം|യേശു ദുഷ്ടാത്മാവിൽ നിന്ന് ആൺകുട്ടിയെ സുഖപ്പെടുത്തുന്നു|കർത്താവിൻ്റെ പ്രാർത്ഥന|യേശു പ്രാർത്ഥനയെയും വിശ്വാസത്തെയും കുറിച്ച് പഠിപ്പിക്കുന്നു|മറ്റുള്ളവരെ പാപം ചെയ്യാൻ പ്രേരിപ്പിക്കുന്നവർക്ക് അയ്യോ കഷ്ടം|കടുകുമണി പോലെ ദൈവരാജ്യം|യേശു പാപികൾക്കൊപ്പം സമയം ചെലവഴിക്കുന്നു|ദുരാത്മാവിനാൽ വികലാംഗയായ സ്ത്രീയുടെ ശബ്ബത്തിൽ സൗഖ്യമാക്കൽ|നല്ല സമരിയാക്കാരൻ്റെ ഉപമ|അന്ധ യാചകൻ്റെ രോഗശാന്തി, ബാർട്ടിമേയസ്|യേശുവും സക്കീസും|യേശു തൻ്റെ മരണവും പുനരുത്ഥാനവും പ്രവചിക്കുന്നു|യേശുവിൻ്റെ ജൈത്രപ്രവേശനം-പാം ഞായർ|യെരൂശലേമിനെക്കുറിച്ച് യേശു കരയുന്നു|പണം മാറ്റുന്നവരെ യേശു ദേവാലയത്തിൽ നിന്ന് പുറത്താക്കുന്നു|വിധവയുടെ വഴിപാട്|അന്നാസ് ക്വസ്റ്റ്യൻസ് അതോറിറ്റി ഓഫ് ജീസസ്|യേശുവിൻ്റെ മുന്തിരിത്തോട്ടത്തെയും കുടിയാന്മാരെയും കുറിച്ചുള്ള ഉപമ|സീസറിന് നികുതി കൊടുക്കുന്നു|അവസാനത്തെ അത്താഴം|യേശുവിൻ്റെ മുകളിലെ മുറി പഠിപ്പിക്കൽ|യൂദാസ് യേശുവിനെ ഒറ്റിക്കൊടുക്കുന്നു; യേശു അറസ്റ്റിൽ|പത്രോസ് യേശുവിനെ മൂന്നു പ്രാവശ്യം തള്ളിപ്പറഞ്ഞു|കാവൽക്കാർ യേശുവിനെ പരിഹസിക്കുന്നു; യേശുവിനെ മതകൗൺസിൽ ചോദ്യം ചെയ്തു|യേശുവിനെ പീലാത്തോസിൻ്റെ അടുക്കൽ കൊണ്ടുവന്നു|യേശുവിനെ ഹെരോദാവിൻ്റെ അടുക്കൽ കൊണ്ടുവന്നു|യേശുവിനെ ചാട്ടയാടുകയും മരണത്തിന് വിധിക്കുകയും ചെയ്യുന്നു|യേശു തൻ്റെ കുരിശ് ചുമക്കുന്നു; ഡോളോറോസ വഴി|യേശു ക്രൂശിക്കപ്പെട്ടു|പട്ടാളക്കാർ യേശുവിൻ്റെ വസ്ത്രങ്ങൾക്കായി ചൂതാട്ടം നടത്തുന്നു|കുരിശിൽ ഒപ്പിടുക: ജൂതന്മാരുടെ രാജാവ്|ക്രൂശിക്കപ്പെട്ട കുറ്റവാളികൾ നഷ്ടപ്പെടുകയും രക്ഷിക്കപ്പെടുകയും ചെയ്തു|യേശുവിൻ്റെ മരണം|അരിമത്തിയയിലെ ജോസഫും യേശുവിൻ്റെ സംസ്‌കാരവും|ശവകുടീരത്തിലെ മാലാഖമാർ|യേശുവിൻ്റെ കല്ലറ ശൂന്യമാണ്|പുനരുത്ഥാനം പ്രാപിച്ച യേശു തൻ്റെ ശിഷ്യന്മാർക്ക് പ്രത്യക്ഷപ്പെടുന്നു|യേശു മഹത്തായ നിയോഗം നൽകുകയും സ്വർഗത്തിലേക്ക് കയറുകയും ചെയ്യുന്നു|യേശുവിനെ വ്യക്തിപരമായി അറിയാനുള്ള ക്ഷണം|യേശു പറഞ്ഞത് കാണുക|JESUS ​​സിനിമ കാണുക|സെഗ്മെൻ്റ് തിരഞ്ഞെടുക്കുക|ഇത് യേശുവിനെക്കുറിച്ച് നിങ്ങളോട് എന്താണ് പറയുന്നത്?|ഇത് ദൈവത്തെക്കുറിച്ച് നിങ്ങളോട് എന്താണ് പറയുന്നത്?|ആളുകളെക്കുറിച്ച് ഇത് നിങ്ങളോട് എന്താണ് പറയുന്നത്?|ഇത് സത്യമാണെങ്കിൽ, അത് നിങ്ങളുടെ ജീവിതത്തിൽ എന്ത് മാറ്റമുണ്ടാക്കും?|നിങ്ങളുടെ കണ്ടെത്തലുകൾ പങ്കിടാൻ കഴിയുന്ന അഞ്ച് ആളുകൾ ആരൊക്കെയാണ്?|മറ്റ് വീഡിയോകൾ
